mark,id,Urea,Sulfur,Vit D,P,Total,BW,BCS,MoPreg,Lact,Adj-BW,oct_BW,oct_BCS,oct_MoPreg,oct_Lact,oct_Adj-BW,lwc,wow_bw_Aug,wow_bw_Nov,trt
8,12688,3412,2406,0,0,5818,425,3,2.5,D,422,378,3,7,D,355,-68,488,497,2
9,50327,8641,2547,0,0,11188,347,1.5,0,W,347,307,1,0,D,307,-40,404,342,2
10,78409,124612,3519,0,0,128131,426,2,0,W,426,406,2,0,D,406,-20,454,449,2
11,31653,76607,3646,0,0,80253,536,4,6,D,521,307,2,0,W,307,-214,505,397,2
12,52864,30,3783,0,0,3813,451,2.5,0,W,451,380,2,0,W,380,-71,432,437,2
13,93489,4059,3912,0,0,7971,370,2,0,W,370,290,1,5,W,280,-90,429,441,2
14,93695,25090,4834,0,0,29924,431,2,4,W,425,419,2,8,D,384,-41,490,431,2
15,14783,3953,9339,0,0,13292,457,4.5,7,D,434,375,3,0,W,375,-59,461,330,2
16,86372,64944,13455,0,0,78399,470,3,0,D,470,442,3,5,D,432,-38,400,387,2
17,41575,39827,14458,0,0,54285,418,2,0,W,418,371,1,0,D,371,-47,NA,NA,2
18,36554,16022,17263,0,0,33285,524,4,7,D,501,387,2,0,W,387,-114,NA,NA,2
19,41885,11881,18382,0,0,30263,471,4.5,5,D,461,442,3,8,W,407,-54,493,437,2
20,28120,37741,19069,0,0,56810,415,1.5,0,W,415,416,2,6,D,401,-14,442,459,2
21,4552,27754,22312,0,0,50066,375,2,0,W,375,360,1,0,D,360,-15,462,455,2
22,17915,22252,29103,0,0,51355,380,2,0,W,380,388,3,4,D,382,2,416,334,2
23,81905,22073,29210,0,0,51283,466,3.5,7,D,443,381,2,0,W,381,-62,466,441,2
24,29497,24919,58390,0,0,83309,554,2.5,8,D,519,443,2,0,W,443,-76,540,394,2
25,40160,23126,63307,0,0,86433,380,2,0,W,380,387,2,0,D,387,7,424,526,2
26,20471,20617,77761,0,0,98378,404,1.5,0,W,404,410,2,2,D,408,4,535,520,2
27,52309,508,0,1,0,509,634,3.5,7,D,611,309,2,0,W,309,-302,584,487,2
28,28360,3480,0,1,0,3481,390,4,6,D,375,266,1,0,W,266,-109,366,493,2
29,55730,8063,0,1,0,8064,478,3.5,7,D,455,397,2,0,W,397,-58,416,388,2
30,28208,697,0,3,0,700,406,2,0,W,406,323,1,0,D,323,-83,399,459,2
31,95708,5365,0,4,0,5369,586,3.5,6,D,571,451,4,0,W,451,-120,635,428,2
32,60836,2988,0,5,0,2993,474,3,0,W,474,386,1,0,W,386,-88,529,467,2
33,55500,5047,0,5,0,5052,604,3.5,5,D,594,440,2,0,W,440,-154,629,442,2
34,15521,11370,0,5,0,11375,426,1.5,0,W,426,427,1,2,D,425,-1,422,513,2
35,55286,27903,0,5,0,27908,496,2,0,W,496,458,3,5,D,448,-48,NA,NA,2
36,81882,1572,0,14,0,1586,473,4,0,D,473,415,2,0,D,415,-58,520,416,2
37,15838,5475,0,14,0,5489,558,4,7,D,535,428,1,0,W,428,-107,468,454,2
38,4523,20994,0,16,0,21010,471,2,0,W,471,427,2,2,D,425,-46,427,444,2
39,2403,92060,0,18,0,92078,500,2,0,W,500,444,2,1,D,443,-57,432,436,2
40,18117,26010,0,24,0,26034,405,2,0,W,405,392,2,3,D,388,-17,NA,NA,2
41,17890,18911,0,25,0,18936,510,3.5,3,W,506,380,1,0,W,380,-126,416,413,2
42,15212,46901,0,25,0,46926,526,3,7,D,503,449,2,0,W,449,-54,577,432,2
43,74051,97922,0,41,0,97963,478,2,2.5,W,475,406,2,7,D,383,-93,487,424,2
44,52544,50086,0,102,0,50188,412,2,2,W,410,448,3,7,D,425,15,419,421,2
45,33946,85,0,131,0,216,388,2.5,0,W,388,356,3,3,D,352,-36,345,349,2
46,51006,3950,0,538,0,4488,422,2,3,W,418,413,2,7,D,390,-29,450,411,2
47,34159,10,0,9917,0,9927,327,1.5,0,W,327,315,2,1,D,314,-13,420,379,2
48,51981,7,0,10249,0,10256,470,3.5,0,D,470,452,4,4,D,446,-24,462,401,2
49,52146,98,0,11682,0,11780,570,4,8,D,535,572,5,9,D,521,-14,NA,NA,2
50,34614,8020,0,0,22,8042,379,2,0,W,379,372,2,3,D,368,-11,399,358,2
1,191,154743,0,0,0,154743,530,3,5,D,520,461,3,0,W,461,-59,570,531,1
2,63922,106475,0,0,0,106475,431,2,0,W,431,420,3,0,D,420,-11,487,497,1
3,35896,95871,0,0,0,95871,504,3,6,D,489,445,2,0,W,445,-44,462,438,1
4,48383,76419,0,0,0,76419,433,4,0,W,433,342,3,0,W,342,-91,417,388,1
5,15332,66267,0,0,0,66267,538,3.5,5,D,528,526,4,8,D,491,-37,569,560,1
6,50283,34397,0,0,0,34397,356,2,0,W,356,340,1,0,W,340,-16,365,355,1
7,40026,28661,0,0,0,28661,374,2,0,W,374,325,2,3,D,321,-53,368,383,1
8,15262,27271,0,0,0,27271,419,2.5,0,W,419,393,2,0,W,393,-26,479,442,1
9,52087,26109,0,0,0,26109,463,3.5,6,D,448,425,4,9,D,374,-74,475,308,1
10,61661,24719,0,0,0,24719,508,4,8,D,473,371,2,0,W,371,-102,372,448,1
11,48632,24699,0,0,0,24699,395,3,0,W,395,303,1,0,W,303,-92,346,303,1
12,39981,24059,0,0,0,24059,578,3.5,7,D,555,438,4,0,W,438,-117,NA,NA,1
13,50558,19546,0,0,0,19546,436,2,0,W,436,402,2,6,D,387,-49,407,378,1
14,72493,18995,0,0,0,18995,478,2,0,W,478,462,1,6,D,447,-31,495,479,1
15,55466,18842,0,0,0,18842,670,3.5,6,D,655,552,3,0,W,552,-103,NA,NA,1
16,27972,10923,0,0,0,10923,335,3,0,D,335,299,2,0,D,299,-36,488,479,1
